race_id,date,Win,Place,Bracket_Quinella,Quinella,Quinella_Place,Exacta,Trio,Trifecta
202509020111,20250329,450,190|590|290,2750,6610,1470|790|2500,9830,,
202507020611,20250330,380,160|140|330,570,820,360|1150|860,1460,,
202506030211,20250330,460,180|770|160,910,9530,3180|570|2920,16320,,
202506030311,20250405,170,110|230|250,690,910,380|430|1130,1250,,
202509020311,20250405,300,120|120|360,430,410,200|950|1000,900,,
202509020411,20250406,510,180|260|340,650,1720,730|990|1460,3300,,
202506030511,20250412,550,150|110|220,360,430,240|540|350,1320,,
202509020511,20250412,2970,770|270|560,7850,8640,2370|6670|1580,23880,,
202509020611,20250413,500,200|150|200,860,1000,490|690|400,2000,,
202509020711,20250419,180,110|530|2520,660,2160,1050|7610|29790,2520,,
202503010411,20250420,380,180|310|340,780,1710,770|870|1620,2640,,
202506030811,20250420,1060,200|110|280,700,680,280|1280|490,2470,,
202505020111,20250426,260,130|120|170,290,400,200|450|350,710,,
202505020211,20250427,1470,380|170|4200,690,2690,1040|44460|14760,7140,,
202508020211,20250427,1020,190|120|130,700,970,360|530|230,3080,,
202505020311,20250503,410,150|130|170,370,640,260|460|340,1230,,
202508020311,20250503,600,150|110|140,230,570,250|460|220,1640,,
202508020411,20250504,310,140|290|260,900,1810,680|630|1690,2800,,
202505020511,20250510,1320,350|160|500,770,2420,940|3660|1520,5660,,
202508020511,20250510,1070,310|230|340,1600,2910,980|1550|1030,6560,,
202505020611,20250511,2610,850|390|1560,2920,20740,4690|23910|8070,39730,,
202504010511,20250517,1960,560|290|700,1350,5910,2150|5950|3130,12230,,
202505020811,20250518,250,130|260|390,1220,1280,550|1050|2710,1980,,
202508020911,20250524,600,240|200|920,600,1570,730|4480|2860,3180,,
202505021011,20250525,1430,340|160|700,1590,2470,900|3890|1900,6700,,
202508021111,20250531,6050,1260|710|450,13160,66010,14500|8820|4040,129830,,
202505021211,20250601,210,110|190|300,420,560,280|620|1310,870,,
202505021212,20250601,330,160|380|500,4060,3560,1010|1270|3620,6160,,
202505030211,20250608,430,180|540|140,3250,9560,2200|380|1730,13540,,
202502010111,20250614,620,240|280|870,1070,2240,720|2810|3240,4670,,
202509030411,20250615,1140,370|160|640,880,2370,960|6520|2080,5380,,
202505030611,20250622,710,260|230|190,960,3030,1050|950|630,5250,,
202509030611,20250622,800,240|200|4190,880,2100,900|22950|19380,4400,,
202502010611,20250629,1300,450|370|1410,1290,7720,2950|13560|8690,14680,,
202503020211,20250629,760,280|200|430,1760,2700,920|1590|1480,5510,,
202510020411,20250706,570,270|290|490,1310,3600,1490|1680|2750,5830,,
202503020611,20250713,420,160|140|790,620,780,420|4040|3510,1440,,
202510020811,20250720,1630,440|220|220,1740,4740,1550|1810|740,10850,,
202502011211,20250720,4870,650|120|130,3880,9310,2170|2660|210,27020,,
202507030207,20250727,750,270|190|160,3110,2920,1100|790|500,5610,,
202504020207,20250727,440,170|570|220,890|420,3620|760,2000|600|2610,5940|1310,,
202504020407,20250803,460,200|150|440,780,1200,520|1670|1310,2330,,
202501010411,20250803,290,120|150|170,730,800,350|360|590,1740,,
202501010511,20250809,890,240|130|580,900,1060,480|3560|1570,2940,,
202507030607,20250810,1390,360|160|410,1020,2090,990|5300|1310,5120,,
202504020607,20250810,890,360|840|820,7830,13320,3600|4170|9710,19930,,
202501010811,20250817,2560,530|260|1970,1590,7140,1740|21700|9690,20750,,
202507030807,20250817,870,340|830|1110,7390,11300,3040|4320|10170,20110,,
202501020211,20250824,550,230|250|220,2980,2870,1170|690|1050,4670,,
202504030211,20250824,230,120|230|150,1400,1650,500|260|700,2260,,
202507040411,20250831,1320,260|110|180,720,960,390|1430|370,3260,,
202504030411,20250831,340,140|150|330,540,580,280|700|1310,1170,,
202501020511,20250906,340,170|590|170,6330,4640,1370|460|1580,6300,,
202506040111,20250906,8950,1670|600|250,3730,51340,11450|6480|2170,107070,,
202509040211,20250907,1940,370|120|130,2950,3010,870|900|200,7830,,
202506040211,20250907,2490,440|200|230,1100,5970,1720|2320|800,14840,,
202509040311,20250913,470,180|140|270,530,910,430|810|760,1830,,
202509040411,20250914,290,140|500|840,1190,3500,1220|1880|8260,5640,,
202506040711,20250921,330,150|130|200,670,680,340|680|550,1400,,
202509040711,20250921,270,110|110|130,330,340,160|250|230,680,,
202509040811,20250927,2350,570|680|360,990,28950,5540|3220|3440,51330,,
202506040911,20250928,5000,1250|540|210,3150,60830,14410|5850|2030,119920,,
202505040211,20251005,770,190|140|120,1890,1850,560|450|240,4290,,
202508030211,20251005,1130,330|250|1660,680,3690,1280|10610|9850,8770,,
202505040311,20251011,360,130|470|110,,8690,1380|170|1000,13620,,
202505040411,20251012,700,230|400|280,1370,4690,1440|880|1570,9230,,
202505040611,20251018,710,160|110|160,480,620,270|580|250,1800,,
202508030711,20251019,550,240|560|550,2530,5280,1790|2220|4610,8170,,
202505040811,20251025,390,170|870|180,2150,9170,2630|500|2940,12830,,
202508030911,20251026,380,180|190|1180,1010,1110,540|5480|8370,2100,,
202508031011,20251101,280,140|750|180,800,5200,1710|370|2250,6760,,
202505041111,20251102,270,140|240|360,770,910,430|820|1890,1390,,
202505050111,20251108,180,130|380|760,1480,1510,640|1880|6640,1940,,
202508040211,20251109,600,220|380|200,1510,5270,1720|780|1300,8490,,
202505050211,20251109,2770,550|180|200,1120,7050,2260|2440|680,16850,,
202508040311,20251115,260,120|120|350,,360,190|1190|1030,660,,
202505050311,20251115,450,160|140|290,640,830,370|1180|700,1620,,
202508040411,20251116,230,130|280|460,690,1280,610|950|3430,1720,,
202503030511,20251122,390,160|160|330,710,840,410|950|1060,1850,,
202508040611,20251123,180,110|230|1370,340,640,340|3930|9530,870,,
202508040711,20251129,2500,710|870|250,12120,32490,7860|2310|3940,53360,,
202505050812,20251130,620,210|120|180,740,1180,520|740|320,2370,,
202508040812,20251130,1170,300|220|260,2480,4470,1400|1590|760,10490,,
202506050111,20251206,440,160|290|160,2610,2200,730|360|980,4150,,
202509050111,20251206,430,200|400|260,2390,3540,1230|670|1490,5960,,
202507050211,20251207,730,250|230|320,1420,2300,910|1680|1010,4160,,
202507050311,20251213,540,180|380|320,3250,3040,850|830|2560,5970,,
202506050411,20251214,320,160|210|390,790,840,410|860|1060,1390,,
202509050411,20251214,500,200|230|260,990,2020,710|830|780,3710,,
202506050511,20251220,1050,350|380|540,1510,5840,1930|2950|2570,10840,,
202509050611,20251221,360,140|210|130,900,1390,490|230|560,2280,,
202506050711,20251227,1980,660|250|590,520,8310,2380|6380|2790,19100,,
202509050711,20251227,710,200|110|210,610,670,330|1000|360,1650,,
202506050811,20251228,380,170|1070|150,600,22520,4150|310|3240,29210,,
